Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2023 Total reported emissions from Onshore Oil & Gas Production ,2022 Total reported emissions from Onshore Oil & Gas Production ,2021 Total reported emissions from Onshore Oil & Gas Production ,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009284,110004766129,340 Arkoma Basin QEP Energy Company,345 - Arkoma Basin,Tulsa,OK,74136,"6100 South Yale, Suite 900",TULSA COUNTY,36.0613546,-95.9515399,211111,W-ONSH,,,,,,,,,,67738.576,60988.976,39699.076,35042.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009169,110038073679,345 Arkoma Basin - BP America Production Company,345 - Arkoma Basin,Houston,TX,77079,501 Westlake Park Blvd.,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,,,,,167140.942,164535.538,215484.612,258715.34,223225.93,175867.166,183274.068,207003.628,221545.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008285,110014409684,345 Arkoma Basin DEC,345 - Arkoma Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,,,,,10584.1,24482.622,30257.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011963,110067409334,345 Arkoma Bravo NR,345 - Arkoma Basin,Tulsa,OK,74136,"1323 East 71st Street, Suite 400",,36.062167,-95.974333,211130,W-ONSH,,,,,,116308.19,126415.23,116979.28,182937.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009119,110070082019,350 South Oklahoma Folded Belt,350 - South Oklahoma Folded Belt,Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,,,,9918.248,8034.078,6316.446,29500.826,56195.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009264,110067652276,355 Chatauque Platform,355 - Chautauqua Platform,Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211120,W-ONSH,,,,,3863.3,5330.55,1133.45,18037.05,25093.65,30200.278,26478.504,66499.956,207116.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008286,,355 Chautauqua Platform DEC,355 - Chautauqua Platform,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.4711808,-97.516602,211111,W-ONSH,,,,,,,508.75,731.8,39525.346,27661.576,70378.65,48965.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009265,110071162284,360 Anadarko Basin,360 - Anadarko Basin,Oklahoma City,OK,73142,"4700 Gaillardia Parkway, Ste. 200",,35.56719,-97.49827,211120,W-ONSH,182531.268,147115.318,138425.53,124278.886,215964.304,253819.352,136681.234,311050.436,328260.992,258855.004,188100.356,206799.244,243416.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008558,110038073679,360 Anadarko Basin - BP America Production Company,360 - Anadarko Basin,Houston,TX,77079,501 Westlake Park Blvd,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,,,,,45652.534,268661.65,85959.196,354092.668,361417.508,263876.522,250563.892,177947.85,210960.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008287,,360 Anadarko Basin DEC,360 - Anadarko Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,,35.466697,-97.51453,211120,W-ONSH,310277.966,349859.078,211619.478,363346.28,408392.79,447672.782,406376.586,252802.366,353194.722,381235.414,357671.756,396990.192,392734.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009285,110011411891,360 Anadarko Basin QEP Energy Company,360 - Anadarko Basin,Tulsa,OK,74136,"6100 South Yale, Suite 900",,36.072617,-95.923102,211111,W-ONSH,,,,,,,,,4871.198,7746.544,94746.284,184780.922,251716.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013331,,360 Anadarko Camino Production,360 - Anadarko Basin,Denver,CO,80202,1200 17th Street Suite 2200,,39.75164151,-104.9966423,211130,W-ONSH,125091.854,100486.884,91395.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009281,,395 Williston Basin QEP Energy Company,395 - Williston Basin,Denver,CO,80265,"1050 17th Street, Suite 500",,39.74846,-104.99402,211120,W-ONSH,,,,288651.938,334639.282,368280.778,349332.43,402104.536,547374.12,1062194.902,791734.17,226559.414,65451.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009276,,415 Strawn Basin BKV - Production,415 - Strawn Basin,FORT WORTH,TX,76106,4800 BLUE MOUND RD,,35.4711808,-97.516602,211120,W-ONSH,600459.2,690921.018,134228.482,54645.812,54343.214,78816.522,221400.294,210443.35,188286.7,135593.948,204624.762,220281.886,280102.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008289,,420 Fort Worth Syncline BKV - Production,420 - Fort Worth Syncline,Bridgeport,TX,76426,1209 CR 1304,,35.466697,-97.51453,211120,W-ONSH,664354.546,933202.728,1118048.404,428738.36,436885.218,441347.456,501431.448,494024.2,539760.19,499147.794,553615.534,731800.136,700990.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009270,110067652506,430 Permian Basin,430 - Permian Basin,Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,,,,,209.35,25704.126,52767.932,104351.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008290,110014409684,430 Permian Basin DEC,430 - Permian Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,790205.09,645555.338,470543.54,515395.332,735489.67,676403.48,269530.824,355198.684,1951072.342,1073197.732,508022.914,551620.576,292748.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009691,110043477573,430 Permian Basin QEP Energy Company,430 - Permian Basin,Denver,CO,80265,1050 17th Street Unit 800,HARRIS COUNTY,29.75608,-95.36433,211120,W-ONSH,,,,275958.754,268413.584,310933.81,164413.68,88018.452,126172.056,126477.814,227417.346,29190.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009790,110038073679,507 Central Western Overthrust Basin - BP America Production Company,507 - Central Western Overthrust,Houston,TX,77079,501 Westlake Park Blvd.,HARRIS COUNTY,29.78111,-95.62893,211111,W-ONSH,,,,,,,,,,,,182596.498,183586.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008294,110002994190,507 Central Western Overthrust QEP Energy Company,507 - Central Western Overthrust,Denver,CO,80265,"1050 17th Street, Suite 500",Denver,39.74846,-104.99402,211111,W-ONSH,,,,,,,,69259.092,39547.492,27998.08,30344.936,32724.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012569,,515 Powder River Basin,515 - Powder River Basin,Denver,CO,80202,"1401 17th Street, Suite 900",,39.7312095,-104.9826965,211120,W-ONSH,,,14883.806,18633.75,17937.338,39969.944,18933.884,6976.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009278,,515 Powder River Basin DEC,515 - Powder River Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,,35.4711808,-97.516602,211120,W-ONSH,207646.318,182557.69,200083.958,212138.61,278372.838,186275.394,134923.808,63692.546,130588.372,167380.398,54374.222,44507.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011262,110058239204,515 Powder River Basin RKI Exploration & Production,515 - Powder River Basin,Oklahoma City,OK,73112,"3817 NW Expressway, STE 950",OKLAHOMA COUNTY,35.513564,-97.578898,211111,W-ONSH,,,,,,,,,,40443.722,129389.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008622,,535 Green River Basin - BP America Production Company,535 - Green River Basin,Houston,TX,77079,501 Westlake Park Blvd.,,29.78037,-95.6295,211130,W-ONSH,,,,378232.832,357229.178,431334.762,527676.48,937829.9,929804.558,830568.134,804376.79,716661.178,746531.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008621,110014409684,535 Green River Basin DEC,535 - Green River Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,,,,,158873.598,171544.964,243836.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008295,110002994190,535 Green River Basin QEP Energy Company,535 - Green River Basin,Denver,CO,80265,"1050 17th Street, Suite 500",DENVER COUNTY,39.74846,-104.99402,211120,W-ONSH,,,,,711.15,782.5,14575.102,438420.85,446839.292,221093.122,229904.492,232967.3,211218.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009282,,575 Uinta Basin QEP Energy Company,575 - Uinta Basin,Denver,CO,80265,"1050 17th Street, Suite 500",,39.7480769,-104.994564,211130,W-ONSH,,,,,0,3298.2,413814.628,371113.008,478469.278,412645.558,418396.766,479851.07,561364.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009076,,580 San Juan Basin - Simcoe LLC,580 - San Juan Basin,DURANGO,CO,81301,1199 MAIN AVE SUITE 101,,29.78037,-95.6295,211130,W-ONSH,969986.662,972213.418,1127421.196,1076366.59,1126149.108,1204716.792,1335105.636,1633541.602,1418584.802,1324080.918,1341704.792,1014237.582,1038792.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008974,110014409684,580 San Juan Basin DEC,580 - San Juan Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46735,-97.5145,211111,W-ONSH,,,,,,,,,137773.65,109559.496,121908.046,95747.622,203364.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008499,,745 San Joaquin Basin Chevron USA Inc.,745 - San Joaquin Basin,San Ramon,CA,94583,6001 Bollinger Canyon Rd.,,37.795963,-122.022317,211120,W-ONSH,,,,12725.082,13570.822,18832.168,21156.97,,28318.686,33624.472,27096.472,24888.598,87678.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012999,,ALLIANCE PETROLEUM CORPORATION,160A - Appalachian Basin (Eastern Overthrust Area),CANTON,OH,44718,"4150 BELDEN VILLAGE AVE NW, SUITE 410",,40.8540649,-81.460856,211130,W-ONSH,,,,,,,56720.5,31133.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013736,,APR - Basin 430 - Production,430 - Permian Basin,Midland,TX,79701,"400 W. Illinois, Suite 970",,32.000017,-102.078534,211130,W-ONSH,40854.354,29255.434,43737.808,151446.576,125612.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009811,,ARKLATX BUSINESS UNIT-BASIN 260 (East TX Only),260 - East Texas Basin,Houston,TX,77002,"1000 Main Street, Suite 2900",,29.7537256,-95.3592814,211120,W-ONSH,42516.948,47243.752,56858.512,32615.724,19783.5,54344.2,55983.45,58352.35,59149.95,47381.05,47673.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014889,,ASEO Eagleford Production Operations,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,"1000 Louisiana St., Ste 7000",,29.75835802,-95.36824299,211120,W-ONSH,128788.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013417,,Abraxas Petroleum 430 Permian Basin,430 - Permian Basin,San Antonio,TX,78258,18803 Meisner Dr.,,31.56434,-102.796,211120,W-ONSH,13059.564,39117.89,115832.602,97224.026,101231.618,77006.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013983,,Advance Energy Partners - Basin 430,430 - Permian Basin,Houston,TX,77077,"11490 Westheimer Road, Suite 950",,29.73807437,-95.58076767,211120,W-ONSH,,148986.984,103284.516,112278.406,68429.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008346,,Aera Energy San Joaquin Basin,745 - San Joaquin Basin,Bakersfield,CA,93311,10000 Ming Avenue,,35.1268513,-119.1855785,211120,W-ONSH,14138.262,15485.504,14990.268,15777.368,24370.3,26803.048,20571.062,,29427.134,42168.408,43407.916,32176.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012509,,Aethon Energy Operating-230-Arkla Basin,230 - Arkla Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.9208727,-96.7734911,211130,W-ONSH,208602.598,309648.08,216823.79,160490.13,221479.444,147400.428,136581.802,226287.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012511,,Aethon Energy Operating-260-East Texas Basin,260 - East Texas Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.91606,-96.773085,211130,W-ONSH,306009.6,205851.89,91225.008,86623.154,93825.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011895,,Aethon Energy Operating-530-Wind River Basin,530 - Wind River Basin,Lysite,WY,82642,,Fremont,43.182208,-107.541229,211130,W-ONSH,96194.882,94866.2,100801.404,111749.814,101497.748,125238.116,105817.294,105440.344,53018.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009511,110045464172,"Alta Mesa Services, LP","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77094,"15021 Katy Freeway, Suite 400",HARRIS COUNTY,29.78434,-95.64861,211120,W-ONSH,,,,,,44493.232,93523.93,102351.42,286282.812,215002.044,154368.928,96266.25,176289.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011546,110063744756,Altas 220/Gulf Coast - Eagle Ford,"220 - Gulf Coast Basin (LA, TX)",Pittsburgh,PA,15275,"1000 Commerce Drive, Suite 400",ALLEGHENY COUNTY,40.45917,-80.19482,211130,W-ONSH,,,,,35025.616,31021.376,30450.518,40631.558,47151.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014730,,Ameredev II 430 Permian Basin,430 - Permian Basin,Austin,TX,78746,2901 Via Fortuna Ste 600,,30.25108,-97.80019546,211120,W-ONSH,38290.798,123149.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011394,110062541496,"American Energy - Permian Basin, LLC",430 - Permian Basin,Oklahoma City,OK,73154,PO Box 18756,OKLAHOMA COUNTY,35.524086,-97.52574,211111,W-ONSH,,,,,,,,,374871.256,314764.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010839,,Amplify Energy Operating 260 East Texas Basin,260 - East Texas Basin,Houston,TX,77002,"500 Dallas Street, Suite 1600",,29.7555,-95.3616,211130,W-ONSH,120000.26,119874.412,107147.29,157075.134,138657.832,152111.168,143012.48,106639.342,124263.668,204118.998,29975.268,149124.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009862,,"Amplify Energy Operating LLC 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,500 Dallas Street Suite 1600,,29.7555,-95.3616,211130,W-ONSH,14148.474,15993.768,16361.568,28241.578,21850.966,24061.36,62609.654,56792.974,53026.572,77510.268,47961.678,126322.856,132826.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010701,,"Amplify Operating Oklahoma, LLC.",360 - Anadarko Basin,Alva,OK,73717,19051 Country Road 500,,36.15307,-95.98943,211120,W-ONSH,,7991.736,7762.086,9197.986,14524.932,57929.476,326661.85,353532.448,238365.45,179108.25,27228.3,21038.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,,Anadarko Basin,360 - Anadarko Basin,Irving,TX,75039,5221 N O'Connor Blvd. 11th Floor,,29.73177,-95.43444,211130,W-ONSH,,,37884.932,56612.002,54794.454,56362.05,55926.452,56004.604,56066.39,35360.454,32923.714,107748.474,189536.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008952,110055515401,Anadarko Basin - 360,360 - Anadarko Basin,Houston,TX,77210,PO Box 4358,HARRIS COUNTY,29.77,-95.37,211111,W-ONSH,,,,,,,,,,0,,29520.7,29512.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008715,110055514215,Anadarko Facility,360 - Anadarko Basin,Houston,TX,77024,"840 Gessner Road, Suite 800",,29.7726138,-95.514493,211130,W-ONSH,,,,,,8836.3,15551.048,15548.048,15516.55,18509.494,23091.2,56764.4,2167290.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011070,110057067784,"Anderson Energy, Inc. 360 - Anadarko Basin",360 - Anadarko Basin,Wichita,KS,67202,"300 W. Douglas, Suite 410",SEDGWICK,37.68599,-97.34091,211111,W-ONSH,,,,,,,,,316.85,289.1,578.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011289,110058379856,"Anderson Energy, Inc. 375 - Sedgwick Basin",375 - Sedgwick Basin,Wichita,KS,67202,"300 W. Douglas, Suite 410",SEDGWICK COUNTY,37.68599,-97.34091,211111,W-ONSH,,,,,,,,,2853.35,2794.2,1790.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011290,110058379865,"Anderson Energy, Inc. 385 - Central Kansas Uplift",385 - Central Kansas Uplift,Wichita,KS,67202,"300 W. Douglas, Suite 410",SEDGWICK COUNTY,37.68599,-97.34091,211111,W-ONSH,,,,,,,,,8241.25,7515.25,3468.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011291,110058379990,"Anderson Energy, Inc. 450 - Las Animas Arch",450 - Las Animas Arch,Wichita,KS,67202,"300 W. Douglas, Suite 410",SEDGWICK COUNTY,37.68599,-97.34091,211111,W-ONSH,,,,,,,,,1585.05,1445.3,1156.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013264,,Anschutz Exploration Corporation - Powder River Basin,515 - Powder River Basin,Denver,CO,80202,555 17th Street Suite 2400,,43.73495,-105.404,211120,W-ONSH,334610.302,514619.706,172335.686,35619.55,84705.784,51531.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010718,,Antero Resources - 160 - Appalachian Basin (Utica),160 - Appalachian Basin,Denver,CO,80202,1615 Wynkoop Street,,39.7541032,-105.0002242,211120,W-ONSH,20739.26,32879.31,17003.118,44156.042,98674.982,108107.164,129564.254,90233.612,111913.28,102341.198,110668.24,11880.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010183,,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,1615 Wynkoop Street,,39.75231,-104.99906,211120,W-ONSH,200323.382,211105.994,253084.622,433891.884,445344.538,412478.606,540114.964,329642.938,309155.256,424088.288,415414.248,516702.206,105916.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010809,110056383248,Antero Resources - Chautauqua Platform Basin,355 - Chautauqua Platform,Denver,CO,80202,1625 17th Street,Denver,39.75231,-104.99906,211111,W-ONSH,,,,,,,,,,,,939.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010807,110056383266,Antero Resources - Ouachita Folded Belt Basin,400 - Ouachita Folded Belt,Denver,CO,80202,1625 17th Street,Denver,39.75231,-104.99906,211111,W-ONSH,,,,,,,,,,,,29826.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010808,110056383266,Antero Resources - South Oklahoma Folded Belt Basin,350 - South Oklahoma Folded Belt,Denver,CO,80202,1625 17th Street,DENVER COUNTY,39.75256,-104.99887,211111,W-ONSH,,,,,,,,,,,,400.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010182,110012364967,Antero Resources- Arkoma Basin,345 - Arkoma Basin,Denver,CO,80202,1625 17th Street,DENVER COUNTY,39.75256,-104.99887,211111,W-ONSH,,,,,,,,,,,,55495.05,96858.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010603,110022327338,Apache Corp. - Palo Duro,435 - Palo Duro Basin,Houston,TX,77056,2000 Post Oak Blvd.,TULSA COUNTY,36.073218,-95.922258,211111,W-ONSH,,,,,,,,4133.67,9210.6,11424.4,52424.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008221,110022327338,Apache Corp. Central - E. Texas Basin 260,260 - East Texas Basin,Tulsa,OK,74136,6120 South Yale #1500,TULSA COUNTY,36.073218,-95.922258,211111,W-ONSH,,,,,,,,,,,,,78682.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011803,110070082147,Apache Corporation + 430 + Permian Basin,430 - Permian Basin,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",,29.610018,-98.604853,211120,W-ONSH,,,,,290066.456,521013.528,553926.434,525661.334,52893.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
